department_id,department_name,manager_id
10,Administration,200
20,Marketing,201
30,Purchasing,114
40,Human Resources,203
50,Shipping,121
60,IT,103
70,Public Relations,204
80,Sales,145
90,Executive,100
100,Finance,108
110,Accounting,205
120,Treasury,NULL
130,Corporate Tax,NULL
140,Control And Credit,NULL
150,Shareholder Services,NULL
160,Benefits,NULL
170,Manufacturing,NULL
180,Construction,NULL
190,Contracting,NULL
200,Operations,NULL
210,IT Support,NULL
220,NOC,NULL
230,IT Helpdesk,NULL
240,Government Sales,NULL
250,Retail Sales,NULL
260,Recruiting,NULL
270,Payroll,NULL
